dob, caption, ethnicity, weight, height, bodytype, smoke, drink, seeking, email_domain, gender, zip, lat, long, city, state, contry, status, loginkey, login_key_recurrence, password_strength
1988,zril,6,158,150,0,0,1,2,other,0,352795,8652,2216,ne,ea,has,ad,has,no,0
1986,consequuntur,4,208,183,5,0,1,0,google,0,139368,5742,7034,similique,ad,similique,insolens,mel,am,1
1991,dolorum,3,232,139,2,0,1,3,yahoo,2,378787,8404,4477,eruditi,similique,salutandi,ne,ea,ei,2
1993,recusabo,1,265,135,5,1,0,0,google,0,278208,2838,9534,vide,Cu,am,eosMea,mnesarchum,nec,0
1984,nec,0,286,128,5,1,0,4,other,1,262159,397,3370,in,am,fuisset,nec,reprimique,pro,4
1973,consequuntur,1,165,170,5,1,0,4,aol,3,172596,5236,6248,nec,habemus,consequuntur,eu,ex,ea,4
1950,ne,1,260,141,0,1,1,5,yahoo,1,200504,7969,3679,dolor,recusabo,in,nostro,sensibus,quis,3
1976,ad,4,285,141,2,1,1,4,other,2,287136,3107,6312,in,consulatu,am,Odio,vide,similique,0
1962,eum,6,274,149,0,0,1,0,aol,3,440418,7387,8967,explicari,ea,mel,reprimique,at,ex,1
1992,nec,5,119,153,3,1,1,3,aol,3,189061,3844,1680,pro,phaedrum,ut,eruditi,nostro,splendide,4
1941,sensibus,6,113,165,4,1,0,2,aol,2,229171,7815,544,eruditi,ei,am,mnesarchum,am,eu,3
1961,dolor,5,147,140,5,1,1,5,aol,2,204991,1754,2349,nostro,in,mnesarchum,eum,maiorum,habemus,2
1987,no,1,114,182,3,0,0,4,google,0,424094,4927,4453,quo,ex,quo,no,reprimique,has,2
1962,reprimique,6,104,140,0,1,0,5,other,1,145004,1767,2187,mel,quo,doming,appetere,mnesarchum,officiis,0
1968,Odio,0,264,137,2,0,1,3,other,2,290531,1399,8886,ut,in,nec,eu,ex,appetere,1
1950,mel,2,169,154,2,1,1,2,yahoo,1,292446,7340,754,fuisset,sensibus,everti,fuisset,ne,vide,1
1979,velit,1,280,157,0,0,0,5,aol,1,368799,9638,3459,eosMea,phaedrum,ei,Odio,ex,eruditi,0
1961,ne,2,294,125,3,1,0,5,google,2,192936,5251,9012,moderatius,civibus,explicari,mel,sensibus,has,3
1958,similique,0,192,129,3,0,1,1,yahoo,0,165669,5102,4158,ad,est,torquatos,ea,ei,insolens,2
1963,fuisset,1,256,148,1,0,0,5,aol,1,132809,7193,6624,eruditi,explicari,ea,explicari,tibique,ea,0
1953,quo,0,227,174,1,0,1,0,other,0,331584,164,9523,ex,ei,pro,et,recusabo,mnesarchum,3
1982,quis,4,292,156,0,0,0,4,yahoo,0,191514,5209,3907,quis,salutandi,eum,et,am,idque,4
1946,moderatius,4,170,171,2,1,1,1,yahoo,3,151293,7182,1570,in,am,pro,nec,similique,ad,3
1941,reprimique,2,140,163,3,1,1,0,other,1,335031,7160,6069,fuisset,no,nostro,appetere,nec,zril,3
1952,Odio,2,104,162,1,1,1,0,aol,1,327311,1606,304,consulatu,dolor,fuisset,no,tibique,officiis,2
1948,tibique,1,192,150,0,1,1,5,google,0,260926,2488,3199,quo,maiorum,ut,mel,consulatu,habemus,1
1992,idque,0,218,150,5,0,1,1,other,2,333869,2984,6197,in,ei,ea,similique,habemus,Odio,0
1953,ut,1,182,149,4,0,1,3,other,1,199852,7994,3491,in,eosMea,ea,ex,et,Cu,1
1981,torquatos,2,300,180,4,0,1,2,aol,1,407657,6062,2339,habemus,everti,nec,quis,similique,ea,1
1953,pro,2,278,124,3,0,0,5,google,0,280705,7867,310,fuisset,fuisset,insolens,no,sensibus,eu,0
1962,no,3,221,166,1,0,0,0,google,3,275103,4148,7300,moderatius,Odio,in,tibique,quis,mnesarchum,1
1945,Cu,6,156,128,4,0,0,4,yahoo,1,440218,6414,4032,torquatos,ei,quo,maiorum,velit,am,2
1983,quo,2,190,155,3,1,0,4,google,1,190074,5512,4195,torquatos,quo,Per,tibique,reprimique,maiorum,4
1976,reprimique,2,142,139,2,1,0,5,google,1,367339,7124,6783,velit,splendide,quo,mnesarchum,Cu,habemus,4
1956,dolorum,6,222,131,5,0,0,0,yahoo,3,359659,4889,645,quo,eum,eum,fuisset,insolens,moderatius,1
1985,eruditi,2,205,182,3,0,0,3,aol,0,167861,5250,4,Per,no,nostro,ex,officiis,torquatos,2
1942,ut,0,117,172,5,1,0,4,google,0,257244,9453,7563,officiis,velit,in,fuisset,similique,salutandi,4
1963,velit,4,290,146,1,0,1,1,other,3,312091,5314,9021,ea,salutandi,insolens,no,ne,velit,1
1940,Cu,2,205,168,0,0,0,5,google,3,261899,5086,199,eu,et,in,fuisset,sensibus,at,4
1951,eum,2,192,163,1,0,1,0,aol,0,162461,2235,8741,splendide,Odio,idque,nostro,velit,Odio,3
1983,sensibus,6,184,154,1,0,1,2,other,0,283657,1741,1238,mnesarchum,Odio,zril,dolor,recusabo,everti,3
1973,reprimique,0,230,145,0,1,0,0,yahoo,3,304088,5857,5853,est,eruditi,eu,similique,quo,salutandi,2
1981,mnesarchum,4,256,168,4,0,0,5,aol,2,306770,4736,9696,at,ut,eu,velit,et,vide,1
1990,idque,1,263,183,0,0,0,3,yahoo,1,304420,793,2159,eu,reprimique,doming,pro,ea,everti,3
1952,ex,3,113,161,3,0,1,0,yahoo,1,172100,680,9320,ne,quo,mel,everti,dolorum,ei,4
1975,officiis,2,263,167,1,1,0,1,google,0,137466,7243,410,eum,dolor,recusabo,pro,no,officiis,0
1942,splendide,1,209,127,1,1,0,0,other,1,135641,6294,3468,in,Odio,Per,dolorum,eum,velit,4
1976,ei,1,135,156,2,1,1,3,google,2,403285,8515,7504,nec,dolor,explicari,has,civibus,sensibus,4
1948,phaedrum,0,163,175,2,1,0,2,other,1,175177,199,3530,similique,in,ne,tractatos,tractatos,ad,2
1991,eu,4,213,134,0,1,1,0,other,3,219014,9576,3566,reprimique,eruditi,eum,sensibus,zril,similique,3
1993,ei,0,120,137,0,0,1,1,google,0,232800,4581,5796,salutandi,insolens,velit,recusabo,est,habemus,1
1969,Per,0,264,156,3,1,0,5,yahoo,3,207065,5587,4045,mel,reprimique,fuisset,appetere,et,explicari,1
1960,insolens,6,140,177,1,0,0,4,yahoo,1,295369,910,258,ne,vide,ut,ne,torquatos,phaedrum,4
1944,eruditi,5,295,140,4,0,1,2,other,1,234293,4967,2705,insolens,consulatu,ut,dolor,at,civibus,1
1969,quo,6,196,178,0,0,1,5,yahoo,0,187355,198,9670,splendide,ex,appetere,nec,recusabo,est,3
1948,velit,4,209,136,3,0,1,4,aol,0,156747,9208,4325,moderatius,nostro,mel,ut,quo,similique,0
1982,phaedrum,2,143,139,3,0,1,5,google,3,121267,5926,2572,ad,officiis,tractatos,no,dolor,mel,0
1974,tibique,4,213,156,3,0,0,1,aol,2,186611,3258,2679,consulatu,Per,fuisset,tractatos,habemus,et,3
1957,tractatos,1,107,154,3,1,1,0,other,0,258942,5245,2728,eosMea,ei,splendide,ei,similique,everti,1
1962,quo,1,197,150,2,1,1,1,aol,1,268235,2164,505,ad,ei,similique,quis,ea,splendide,0
1993,mnesarchum,0,104,175,0,0,1,1,aol,2,187095,7617,6664,quo,doming,quis,ei,pro,tractatos,0
